adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Platform_ORF,GO.Function,GO.Process,GO.Component,Chromosome.annotation,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
0.21687359,0.000138496,-9.932945478,0.587201608,-3.088743394,rhaB,rhamnulokinase,c4853,ATP binding///rhamnulokinase activity,rhamnose catabolic process///rhamnose catabolic process///rhamnose catabolic process,cytosol,"NC_004431.1 (4615636..4617105, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.258286733,0.000227721,-8.986981025,0.357714397,-2.811911384,ybiB///ECs0878,glycosyl transferase///glycosyl transferase family protein,Z1021,DNA binding///RNA binding,tryptophan biosynthetic process,cytosol///cytosol,NC_002655.2 (961341..962303)///NC_002695.1 (959688..960650),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.26260274,0.000261172,-8.740939282,0.289843732,-6.098967078,gnsB,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,,unsaturated fatty acid biosynthetic process,cytosol,"NC_000913.3 (1637609..1637782, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.26260274,0.000282977,-8.599791062,0.249197866,-4.479586715,ulaA,PTS system ascorbate-specific transporter subunit IIC,c5281,identical protein binding///protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity///protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity,phosphoenolpyruvate-dependent sugar phosphotransferase system///L-ascorbic acid transmembrane transport///L-ascorbic acid transmembrane transport,plasma membrane///integral component of plasma membrane///membrane,NC_004431.1 (5028048..5029445),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.265792202,0.000338489,-8.291749022,0.155887769,-3.155572579,codA,cytosine deaminase,c0456,cytosine deaminase activity///cytosine deaminase activity///ferrous iron binding///zinc ion binding///isoguanine deaminase activity///isoguanine deaminase activity///identical protein binding///identical protein binding,cytosine catabolic process///cytosine catabolic process,cytosol///cytosol,NC_004431.1 (445523..446821),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.268165813,0.000367782,-8.152341781,0.111472476,-3.39897954,kdpB,potassium-transporting ATPase subunit B,c0782,"protein binding///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism",potassium ion transport///potassium ion transmembrane transport///potassium ion transmembrane transport///cation transmembrane transport,plasma membrane///integral component of plasma membrane///integral component of plasma membrane///integral component of membrane///potassium ion-transporting ATPase complex,"NC_004431.1 (765723..767771, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.370533813,0.000762266,-7.012685646,-0.310647698,-4.112208355,srlR,DNA-binding transcriptional repressor SrlR,c3261,protein binding,"negative regulation of transcription, DNA-templated",,NC_004431.1 (3111517..3112290),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.569587741,0.00200453,-5.707520051,-0.957541456,-1.789805948,leuA,2-isopropylmalate synthase,c0091,2-isopropylmalate synthase activity///2-isopropylmalate synthase activity///acetyl-CoA C-acetyltransferase activity,leucine biosynthetic process///leucine biosynthetic process///leucine biosynthetic process,cytosol///cytosol,"NC_004431.1 (85789..87402, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.606633447,0.002390477,5.491942843,-1.085456915,2.921014404,marB///ECs2139,hypothetical protein///hypothetical protein,Z2169,,,outer membrane-bounded periplasmic space,"NC_002655.2 (1943852..1944070, complement)///NC_002695.1 (2144401..2144619)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.606633447,0.002870121,5.274581717,-1.221394096,1.788851296,xylB,xylulokinase,c4384,xylulokinase activity,xylulose catabolic process///D-xylose catabolic process,,"NC_004431.1 (4165550..4167004, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.630501299,0.003273567,5.12218977,-1.321064196,0.868983555,anmK///anmK///anmK///anmK,anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase,b1640,kinase activity,,,"NC_004431.1 (1879022..1880131, complement)///NC_002655.2 (2393413..2394522, complement)///NC_000913.3 (1718493..1719602, complement)///NC_002695.1 (2318220..2319329, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.742932399,0.004980693,-4.65674966,-1.649176325,-0.740844763,ggt///ggt,gamma-glutamyltranspeptidase///gamma-glutamyltranspeptidase,Z4813,gamma-glutamyl-peptidase activity///glutathione hydrolase activity,amino acid salvage///self proteolysis,outer membrane-bounded periplasmic space///periplasmic space,"NC_002655.2 (4369960..4371705, complement)///NC_002695.1 (4302737..4304482, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.758931955,0.005576009,-4.536661704,-1.739927608,-2.684150463,yidE,hypothetical protein,c4604,,,plasma membrane,"NC_004431.1 (4366347..4368008, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.859356855,0.006539724,-4.370582141,-1.869752018,-2.922674694,menE,O-succinylbenzoic acid--CoA ligase,c2803,o-succinylbenzoate-CoA ligase activity///identical protein binding,menaquinone biosynthetic process///protein homotetramerization,,"NC_004431.1 (2660030..2661385, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.859356855,0.008465259,-4.109980139,-2.083865006,-1.190483603,lyxK,Cryptic L-xylulose kinase,c4403,L-xylulokinase activity,L-lyxose metabolic process,,NC_004431.1 (4185560..4187056),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.859356855,0.008701059,4.082813695,-2.106932171,0.754138346,ccmD///ccmD///ccmD///ECs3087,Heme exporter protein D///heme exporter protein C///cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor///heme exporter protein C,b2198,protein binding,heme transport///heme transport,integral component of plasma membrane///intrinsic component of the cytoplasmic side of the plasma membrane///intrinsic component of the cytoplasmic side of the plasma membrane,"NC_004431.1 (2582885..2583094, complement)///NC_002655.2 (3100199..3100408, complement)///NC_000913.3 (2295377..2295586, complement)///NC_002695.1 (3028930..3029139, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.9800794,0.011488937,-3.813897813,-2.343036324,-0.66745373,hisD,histidinol dehydrogenase,c2547,histidinol dehydrogenase activity///histidinol dehydrogenase activity///manganese ion binding///metal ion binding,histidine biosynthetic process///histidine biosynthetic process,cytosol///cytosol,NC_004431.1 (2379145..2380458),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.9800794,0.012004495,-3.772376608,-2.380760151,-3.176534215,torA,trimethylamine-N-oxide reductase 1,c1133,protein binding///electron transfer activity///molybdenum ion binding///molybdenum ion binding///cofactor binding///cofactor binding///trimethylamine-N-oxide reductase (cytochrome c) activity,aerobic respiration///anaerobic respiration///anaerobic respiration,outer membrane-bounded periplasmic space///outer membrane-bounded periplasmic space,NC_004431.1 (1093996..1096542),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.9800794,0.01227399,-3.751471985,-2.399882229,-0.899500217,pyrD,dihydroorotate dehydrogenase 2,c1081,dihydroorotate dehydrogenase activity///dihydroorotate dehydrogenase activity///FMN binding,'de novo' pyrimidine nucleobase biosynthetic process///'de novo' pyrimidine nucleobase biosynthetic process///pyrimidine ribonucleotide biosynthetic process,cytosol///membrane,NC_004431.1 (1048663..1049700),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.9800794,0.012770611,-3.714281814,-2.434115534,-1.753031846,entF,enterobactin synthase subunit F,c0673,"nucleotidyltransferase activity///phosphopantetheine binding///phosphopantetheine binding///2,3-dihydroxybenzoate-serine ligase activity///2,3-dihydroxybenzoate-serine ligase activity",enterobactin biosynthetic process///enterobactin biosynthetic process///amino acid activation for nonribosomal peptide biosynthetic process///amino acid activation for nonribosomal peptide biosynthetic process///secondary metabolite biosynthetic process,cytoplasm///cytosol///cytosol///plasma membrane///enterobactin synthetase complex///enterobactin synthetase complex,NC_004431.1 (656385..660266),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
