,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene.symbol,Platform_ORF,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
2,1.60034765,8.79169806,7.976452572,4.39E-05,0.026018925,2.653051422,pepT,gene:SMU_691,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
5,2.442551679,14.41861415,7.650150617,5.92E-05,0.026018925,1.918695562,6S,gene:EBG00001212958,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
9,2.125312977,12.46318923,6.494477723,0.00018682,0.026018925,1.179418702,wapA,gene:SMU_987,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
13,1.318741171,5.494619627,6.220132003,0.000250789,0.026018925,0.995189038,mtlA1,gene:SMU_1185,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
15,1.418415113,7.027187797,6.167158304,0.000265738,0.026018925,0.930953824,pttB,gene:SMU_2038,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
16,1.506051386,9.563802245,6.12787775,0.000277458,0.026018925,0.896855671,ptnA,gene:SMU_1877,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
23,2.301807333,14.09532583,6.087963631,0.000289953,0.026018925,0.711127169,tmRNA,gene:EBG00001213027,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
28,1.584718793,4.811875762,5.805546247,0.000398262,0.026018925,0.554846411,CRISPR-DR22,gene:EBG00001212962,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
32,2.064831125,7.50787533,5.74748391,0.000425656,0.026018925,0.465002194,SpR19_sRNA,gene:EBG00001213013,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
38,1.19199578,6.701830837,5.442241525,0.0006083,0.028666076,0.117411413,bglP,gene:SMU_980,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
48,0.95040902,5.839079715,5.23714235,0.000778729,0.028666076,-0.110027844,feoA,gene:SMU_569,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
