,Platform_ORF,logFC,AveExpr,F,P.Value,adj.P.Val,GO.Function,GO.Component,GO.Process,Gene.symbol,Chromosome.annotation,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
1,orf19.10084,0.047421017,-2.808921017,201.7868348,5.26E-08,0.000176406,ATPase-coupled cation transmembrane transporter activity///nucleotide binding,integral component of membrane,cation transport,PMR2,Contig20151:complement(52459..50327)///Contig20151:complement(53572..52505),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
2,orf19.10945,0.06061673,2.15813327,126.2122703,3.82E-07,0.000512572,molecular_function,integral component of membrane,biological_process,FUN34,Contig20176:109402..110193,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
3,orf19.10627,0.132510106,2.007489894,112.0456248,6.29E-07,0.000632998,molecular_function,cellular_component,biological_process,NA,Contig20166:60104..61270,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
4,orf19.7838,0.179092723,2.396157277,107.9515131,7.35E-07,0.000704267,molecular_function,cell surface,biological_process,NA,Contig20045:26617..30108,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
5,orf19.12677,0.067385689,-2.417635689,99.68243241,1.02E-06,0.00078454,"DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///DNA-binding transcription factor activity///DNA-binding transcription factor activity",nucleus,negative regulation of transcription by RNA polymerase II///positive regulation of histone deacetylation///cellular response to oxidative stress,XBP1,Contig20221:complement(11865..10132),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
6,orf19.8028,0.155349691,-1.449849691,90.98187961,1.50E-06,0.000971685,molecular_function,cellular_component,biological_process,NA,Contig20051:26280..26753,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
7,orf19.11001,0.143803308,-1.609553308,89.55199742,1.60E-06,0.001002736,"cytochrome-b5 reductase activity, acting on NAD(P)H",integral component of mitochondrial outer membrane///mitochondrial intermembrane space///mitochondrial outer membrane,oxidation-reduction process///cellular response to oxidative stress///ergosterol biosynthetic process,MCR1,Contig20181:complement(26130..25225),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
8,orf19.12677,0.411037048,-2.281787048,85.05448711,1.98E-06,0.001047509,"DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///DNA-binding transcription factor activity///DNA-binding transcription factor activity",nucleus,negative regulation of transcription by RNA polymerase II///positive regulation of histone deacetylation///cellular response to oxidative stress,XBP1,Contig20221:complement(11865..10132),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
9,orf19.10923,-0.026195461,-1.751554539,85.37458493,1.95E-06,0.001047509,malate dehydrogenase (decarboxylating) (NAD+) activity///NAD binding///malate dehydrogenase (decarboxylating) (NAD+) activity///malic enzyme activity///malic enzyme activity,mitochondrion,malate metabolic process///oxidation-reduction process///pyruvate metabolic process///cellular amino acid metabolic process///malate metabolic process,MAE1,Contig20176:complement(44413..42521),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
10,orf19.7966,0.028698852,-1.757948852,81.79619945,2.33E-06,0.00114069,molecular_function,cellular_component,biological_process,NA,Contig20046:complement(183859..183287),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
11,orf19.12124,0.070529054,2.679720946,80.60702332,2.47E-06,0.00118281,NA,NA,NA,NA,Contig20212:complement(183084..182755),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
